scenario,scenario_label,district,district_sensitivity_role,industry_code,industry_name,official_city_subgroup_employment,official_district_72_employment,base_district_subgroup_employment,scenario_district_subgroup_employment,difference_from_base,scenario_method,district_subgroup_is_modelled,core_is_hard_control,geometry_or_spatial_allocation_used,grid_created,reach_percentage_calculated,reference_date,employment_universe
low_office_intensity,Low office intensity,浦东新区,neutral,721,组织管理服务,228288,363367,43560,43560,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,金山区,neutral,721,组织管理服务,228288,31730,3804,3804,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,松江区,neutral,721,组织管理服务,228288,68145,8169,8169,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,青浦区,neutral,721,组织管理服务,228288,44055,5281,5281,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,奉贤区,neutral,721,组织管理服务,228288,54954,6588,6588,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,崇明区,neutral,721,组织管理服务,228288,19072,2286,2286,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,黄浦区,priority_office_centre,723,法律服务,50311,191187,5051,4777,-274,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,徐汇区,neutral,723,法律服务,50311,151850,4012,4012,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,长宁区,priority_office_centre,723,法律服务,50311,106199,2806,2654,-152,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,静安区,priority_office_centre,723,法律服务,50311,228852,6046,5719,-327,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,普陀区,priority_office_centre,723,法律服务,50311,88096,2327,2201,-126,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,虹口区,neutral,723,法律服务,50311,54193,1432,1432,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,杨浦区,neutral,723,法律服务,50311,55036,1454,1454,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,闵行区,neutral,723,法律服务,50311,185963,4913,4913,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,宝山区,composition_risk,723,法律服务,50311,166347,4395,5274,879,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,嘉定区,neutral,723,法律服务,50311,95276,2517,2517,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,浦东新区,neutral,723,法律服务,50311,363367,9600,9600,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,金山区,neutral,723,法律服务,50311,31730,838,838,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,松江区,neutral,723,法律服务,50311,68145,1800,1800,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,青浦区,neutral,723,法律服务,50311,44055,1164,1164,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,奉贤区,neutral,723,法律服务,50311,54954,1452,1452,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,崇明区,neutral,723,法律服务,50311,19072,504,504,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,黄浦区,priority_office_centre,724,咨询与调查,363868,191187,36531,34553,-1978,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,徐汇区,neutral,724,咨询与调查,363868,151850,29014,29014,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,长宁区,priority_office_centre,724,咨询与调查,363868,106199,20292,19193,-1099,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,静安区,priority_office_centre,724,咨询与调查,363868,228852,43728,41360,-2368,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,普陀区,priority_office_centre,724,咨询与调查,363868,88096,16833,15921,-912,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,虹口区,neutral,724,咨询与调查,363868,54193,10355,10355,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,杨浦区,neutral,724,咨询与调查,363868,55036,10516,10516,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,闵行区,neutral,724,咨询与调查,363868,185963,35533,35533,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,宝山区,composition_risk,724,咨询与调查,363868,166347,31785,38142,6357,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,嘉定区,neutral,724,咨询与调查,363868,95276,18205,18205,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,浦东新区,neutral,724,咨询与调查,363868,363367,69430,69430,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,金山区,neutral,724,咨询与调查,363868,31730,6063,6063,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,松江区,neutral,724,咨询与调查,363868,68145,13021,13021,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,青浦区,neutral,724,咨询与调查,363868,44055,8418,8418,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,奉贤区,neutral,724,咨询与调查,363868,54954,10500,10500,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,崇明区,neutral,724,咨询与调查,363868,19072,3644,3644,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,黄浦区,priority_office_centre,725,广告业,100658,191187,10106,9558,-548,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,徐汇区,neutral,725,广告业,100658,151850,8026,8026,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,长宁区,priority_office_centre,725,广告业,100658,106199,5613,5309,-304,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,静安区,priority_office_centre,725,广告业,100658,228852,12097,11442,-655,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,普陀区,priority_office_centre,725,广告业,100658,88096,4656,4404,-252,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,虹口区,neutral,725,广告业,100658,54193,2864,2864,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,杨浦区,neutral,725,广告业,100658,55036,2909,2909,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,闵行区,neutral,725,广告业,100658,185963,9830,9830,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,宝山区,composition_risk,725,广告业,100658,166347,8793,10552,1759,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,嘉定区,neutral,725,广告业,100658,95276,5036,5036,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,浦东新区,neutral,725,广告业,100658,363367,19207,19207,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,金山区,neutral,725,广告业,100658,31730,1677,1677,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
low_office_intensity,Low office intensity,松江区,neutral,725,广告业,100658,68145,3602,3602,0,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,False,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
