accounting_stratum_id,district,control_name,source_preference_tier,candidate_source_id,source_provider,source_title,source_url,year_or_vintage,spatial_resolution,measure_or_proxy,access_method,license_or_reuse_restriction,reproducibly_acquirable,can_distinguish_exact_reach_inside_outside,expected_usefulness_for_control,availability_finding,independent_of_existing_jrc_overture_surface
310110019000,杨浦区,五角场街道,3,baidu-huiyan-work-population,Baidu Maps Huiyan,Population geography big-data API: work-population grid/custom-area analysis,https://huiyan.baidu.com/products/popgeoapiservice,contract-defined; request a stable 2023 historical reference period,grid and arbitrary polygon/custom area; exact cell size disclosed only in contract,"work population, service population, visitation, and commuting proxy",commercial inquiry; API/DaaS or licensed offline extract,commercial contract; assume no raw redistribution unless expressly licensed,"CONDITIONAL: freeze request polygons, dates, parameters, returned cells, and provider metadata under contract",YES if grid cells or exact custom-polygon totals are licensed,"Strongest workplace-specific discriminator for 五角场街道. University, office, retail, and innovation clusters are identifiable at building level; mobile work population would separate them from surrounding residential blocks. It is not the legal-entity census universe and must only inform within-control shares.","COMMERCIAL; PRICE, RETENTION, HISTORICAL COVERAGE, AND REDISTRIBUTION REQUIRE A QUOTE",True
310110019000,杨浦区,五角场街道,4,shanghai-metro-entry-exit,Shanghai Municipal Transportation Commission via Shanghai Public Data Open Platform,Citywide metro station entry and exit passenger volume,https://data.sh.gov.cn/,daily or real-time; request representative 2023 weekdays if retained,station point by day or real-time interval,passenger entries/exits; not employment and not necessarily AM-peak alightings,public-data portal download/API; registration or conditional-use application may apply,Shanghai public-data terms; cite provider; conditional datasets require a data-use agreement,CONDITIONAL on dataset access and historical retention,NO: station catchments cross control/reach boundaries and trips are multi-purpose,"Independent validation signal for workplace-center timing in 五角场街道, never an employment count. No public official AM-peak alighting table was located in this audit.",OFFICIAL STATION FLOW DATASET EXISTS; REQUIRED AM-PEAK/HISTORICAL DETAIL NOT CONFIRMED,True
310110019000,杨浦区,五角场街道,5,official-registry-establishments,Shanghai Administration for Market Regulation / GSXT,Shanghai enterprise registration machine-readable basic archives,https://fw.scjgj.sh.gov.cn/achieve_outer/apply/notice,registry address/status current at acquisition,establishment registered-address point after geocoding,"enterprise name, registered address, status, registration metadata, and business scope",official record-by-record identity-verified lookup through Shanghai's one-stop government portal,public inspection right; no bulk-download or raw-redistribution license identified,NO at control scale without an official bulk extract; record-by-record lookup is auditable but impractical,"YES geometrically after geocoding, but registered address may not be the workplace","Potential establishment-location validation for 五角场街道; no public bulk enumeration or employment weight, and registered-address bias remains.",OFFICIAL RECORD-BY-RECORD ONLY; NOT PRACTICAL AS A COMPLETE CONTROL DATASET,True
310110019000,杨浦区,五角场街道,5,qichacha-insured-establishments,Qichacha Open Platform,"Enterprise risk-scan API with industry, address, branches, and insured count",https://openapi.qcc.com/dataApi/736,latest enterprise record and annual-report insured count available at acquisition,enterprise registered-address point after geocoding,"establishments, industry, branches, registered address, and reported insured count",commercial JSON API; enterprise-verified account and use-case approval,commercial contract; 6 RMB/query listed at audit date; assume no raw redistribution without written permission,"CONDITIONAL: freeze enterprise universe, API version, query date, raw responses, geocoder, and missingness/deduplication ledgers","YES geometrically after geocoding, but registered address and insured enrollment may differ from workplace","Potential employment-weighted point proxy for 五角场街道; incomplete insured counts, headquarters/branch duplication, centralized social-insurance enrollment, and registered-address bias require normalization to the official control total.",COMMERCIAL; ENUMERATION AND PER-RECORD COST MAKE A TARGETED PILOT PREFERABLE TO CITYWIDE ACQUISITION,True
310110019000,杨浦区,五角场街道,6,cmab-building-function-volume,Tsinghua University researchers / Figshare,"CMAB: Multi-Attribute Building Dataset of China, version 7",https://figshare.com/articles/dataset/CMAB-The_World_s_First_National-Scale_Multi-Attribute_Building_Dataset/27992417,dataset 2025; input imagery primarily 2022-2024,"individual building polygon with height, volume, and predicted function",office/industrial/commercial/public/residential building function and building volume,public Figshare download; subset Shanghai after freezing version/checksum,CC BY 4.0 with attribution,"YES; 15.81 GB national archive, versioned download",YES at building-polygon level,"University, office, retail, and innovation clusters are identifiable at building level; mobile work population would separate them from surrounding residential blocks. Building function is predicted and partly derived from map AOI/POI; it is an independent high-resolution morphology check, not a workplace count.",PUBLICLY AVAILABLE,True
310110019000,杨浦区,五角场街道,6,existing-jrc-overture-baseline,European Commission JRC and Overture Maps Foundation,Existing JRC non-residential built volume and Overture Places inputs,https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_V,JRC 2020; Overture release 2026-07-22.0,100 m built-volume grid and place points,non-residential built volume and categorized place confidence,already frozen in PR #16 source pipeline,existing source-manifest terms and attribution,YES from the existing pipeline manifest,YES through existing 100 m partial-cell and point geometry,Existing baseline for 五角场街道; it cannot count as independent improvement because it already generates two of the compared allocation surfaces.,ALREADY USED; NOT NEW EVIDENCE,False
310110019000,杨浦区,五角场街道,6,global-building-atlas,Technical University of Munich / GlobalBuildingAtlas,"GlobalBuildingAtlas building polygons, heights, and LoD1 models",https://source.coop/tge-labs/globalbuildingatlas-lod1,2025 release; source imagery varies,individual building polygon and height,"building footprint, height, and volume; no workplace function",public cloud-hosted Parquet/GeoJSON distribution,polygon component published as ODbL; verify component-specific terms before redistribution,YES with frozen partitions/version/checksum,YES at building-polygon level,Independent geometry/height cross-check for 五角场街道; weaker than CMAB because it lacks building function and employment.,PUBLICLY AVAILABLE,True
310105008000,长宁区,仙霞新村街道,1,district-epc5-publication,长宁区 statistics authority,"Fifth National Economic Census main data bulletin, first bulletin",https://zwgk.shcn.gov.cn/xxgk/zdgzlsqk-zw/2025/211/78163.html,2023-12-31,street/town or functional-zone aggregate already used as the accounting control,legal-entity employment and legal-unit counts; separate district industry table,public district-government HTML/PDF attachment,official publication; cite source; no establishment microdata redistribution,YES for published aggregates,NO,"Locks the official control total and universe. Exhaustive table review found no public industry-by-control, establishment-location, or sub-control employment table.","AVAILABLE, BUT NO FINER PUBLIC BREAKDOWN FOUND",True
310105008000,长宁区,仙霞新村街道,3,baidu-huiyan-work-population,Baidu Maps Huiyan,Population geography big-data API: work-population grid/custom-area analysis,https://huiyan.baidu.com/products/popgeoapiservice,contract-defined; request a stable 2023 historical reference period,grid and arbitrary polygon/custom area; exact cell size disclosed only in contract,"work population, service population, visitation, and commuting proxy",commercial inquiry; API/DaaS or licensed offline extract,commercial contract; assume no raw redistribution unless expressly licensed,"CONDITIONAL: freeze request polygons, dates, parameters, returned cells, and provider metadata under contract",YES if grid cells or exact custom-polygon totals are licensed,Strongest workplace-specific discriminator for 仙霞新村街道. Office corridors coexist with large residential compounds; mobile work population or insured-establishment points are needed to avoid treating floor area as workplace intensity. It is not the legal-entity census universe and must only inform within-control shares.,"COMMERCIAL; PRICE, RETENTION, HISTORICAL COVERAGE, AND REDISTRIBUTION REQUIRE A QUOTE",True
310105008000,长宁区,仙霞新村街道,4,shanghai-metro-entry-exit,Shanghai Municipal Transportation Commission via Shanghai Public Data Open Platform,Citywide metro station entry and exit passenger volume,https://data.sh.gov.cn/,daily or real-time; request representative 2023 weekdays if retained,station point by day or real-time interval,passenger entries/exits; not employment and not necessarily AM-peak alightings,public-data portal download/API; registration or conditional-use application may apply,Shanghai public-data terms; cite provider; conditional datasets require a data-use agreement,CONDITIONAL on dataset access and historical retention,NO: station catchments cross control/reach boundaries and trips are multi-purpose,"Independent validation signal for workplace-center timing in 仙霞新村街道, never an employment count. No public official AM-peak alighting table was located in this audit.",OFFICIAL STATION FLOW DATASET EXISTS; REQUIRED AM-PEAK/HISTORICAL DETAIL NOT CONFIRMED,True
310105008000,长宁区,仙霞新村街道,5,official-registry-establishments,Shanghai Administration for Market Regulation / GSXT,Shanghai enterprise registration machine-readable basic archives,https://fw.scjgj.sh.gov.cn/achieve_outer/apply/notice,registry address/status current at acquisition,establishment registered-address point after geocoding,"enterprise name, registered address, status, registration metadata, and business scope",official record-by-record identity-verified lookup through Shanghai's one-stop government portal,public inspection right; no bulk-download or raw-redistribution license identified,NO at control scale without an official bulk extract; record-by-record lookup is auditable but impractical,"YES geometrically after geocoding, but registered address may not be the workplace","Potential establishment-location validation for 仙霞新村街道; no public bulk enumeration or employment weight, and registered-address bias remains.",OFFICIAL RECORD-BY-RECORD ONLY; NOT PRACTICAL AS A COMPLETE CONTROL DATASET,True
310105008000,长宁区,仙霞新村街道,5,qichacha-insured-establishments,Qichacha Open Platform,"Enterprise risk-scan API with industry, address, branches, and insured count",https://openapi.qcc.com/dataApi/736,latest enterprise record and annual-report insured count available at acquisition,enterprise registered-address point after geocoding,"establishments, industry, branches, registered address, and reported insured count",commercial JSON API; enterprise-verified account and use-case approval,commercial contract; 6 RMB/query listed at audit date; assume no raw redistribution without written permission,"CONDITIONAL: freeze enterprise universe, API version, query date, raw responses, geocoder, and missingness/deduplication ledgers","YES geometrically after geocoding, but registered address and insured enrollment may differ from workplace","Potential employment-weighted point proxy for 仙霞新村街道; incomplete insured counts, headquarters/branch duplication, centralized social-insurance enrollment, and registered-address bias require normalization to the official control total.",COMMERCIAL; ENUMERATION AND PER-RECORD COST MAKE A TARGETED PILOT PREFERABLE TO CITYWIDE ACQUISITION,True
310105008000,长宁区,仙霞新村街道,6,cmab-building-function-volume,Tsinghua University researchers / Figshare,"CMAB: Multi-Attribute Building Dataset of China, version 7",https://figshare.com/articles/dataset/CMAB-The_World_s_First_National-Scale_Multi-Attribute_Building_Dataset/27992417,dataset 2025; input imagery primarily 2022-2024,"individual building polygon with height, volume, and predicted function",office/industrial/commercial/public/residential building function and building volume,public Figshare download; subset Shanghai after freezing version/checksum,CC BY 4.0 with attribution,"YES; 15.81 GB national archive, versioned download",YES at building-polygon level,"Office corridors coexist with large residential compounds; mobile work population or insured-establishment points are needed to avoid treating floor area as workplace intensity. Building function is predicted and partly derived from map AOI/POI; it is an independent high-resolution morphology check, not a workplace count.",PUBLICLY AVAILABLE,True
310105008000,长宁区,仙霞新村街道,6,existing-jrc-overture-baseline,European Commission JRC and Overture Maps Foundation,Existing JRC non-residential built volume and Overture Places inputs,https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_V,JRC 2020; Overture release 2026-07-22.0,100 m built-volume grid and place points,non-residential built volume and categorized place confidence,already frozen in PR #16 source pipeline,existing source-manifest terms and attribution,YES from the existing pipeline manifest,YES through existing 100 m partial-cell and point geometry,Existing baseline for 仙霞新村街道; it cannot count as independent improvement because it already generates two of the compared allocation surfaces.,ALREADY USED; NOT NEW EVIDENCE,False
310105008000,长宁区,仙霞新村街道,6,global-building-atlas,Technical University of Munich / GlobalBuildingAtlas,"GlobalBuildingAtlas building polygons, heights, and LoD1 models",https://source.coop/tge-labs/globalbuildingatlas-lod1,2025 release; source imagery varies,individual building polygon and height,"building footprint, height, and volume; no workplace function",public cloud-hosted Parquet/GeoJSON distribution,polygon component published as ODbL; verify component-specific terms before redistribution,YES with frozen partitions/version/checksum,YES at building-polygon level,Independent geometry/height cross-check for 仙霞新村街道; weaker than CMAB because it lacks building function and employment.,PUBLICLY AVAILABLE,True
310109018000,虹口区,北外滩街道,1,district-epc5-publication,虹口区 statistics authority,"Fifth National Economic Census main data bulletin, first bulletin",https://www.shhk.gov.cn/shhk-zwgk/rest/frame/base/attach/attachAction/getContent?attachGuid=3a3b3cb4-8b7b-4a87-8472-ea58b4f2a6cc&isCommondto=true,2023-12-31,street/town or functional-zone aggregate already used as the accounting control,legal-entity employment and legal-unit counts; separate district industry table,public district-government HTML/PDF attachment,official publication; cite source; no establishment microdata redistribution,YES for published aggregates,NO,"Locks the official control total and universe. Exhaustive table review found no public industry-by-control, establishment-location, or sub-control employment table.","AVAILABLE, BUT NO FINER PUBLIC BREAKDOWN FOUND",True
310109018000,虹口区,北外滩街道,2,official-control-context,Hongkou District Government,Shanghai Hongkou High-Tech Industrial Development Zone overview,https://www.shhk.gov.cn/xwzx/002008/002008025/002008025001/20230731/c9cce5bf-ca13-4df4-bfb6-692ec3abeffa.html,2023,eight non-contiguous parcels across Hongkou,"office-building, industrial-park, and registered-enterprise counts",public government HTML/PDF,official publication; citation permitted; no implied license for unpublished microdata,YES for published aggregates,NO,Useful only as an anchor inventory; it is not a sub-control employment table and the street is already effectively inside for practical purposes.,AVAILABLE AS AGGREGATE VALIDATION ONLY,True
310109018000,虹口区,北外滩街道,3,baidu-huiyan-work-population,Baidu Maps Huiyan,Population geography big-data API: work-population grid/custom-area analysis,https://huiyan.baidu.com/products/popgeoapiservice,contract-defined; request a stable 2023 historical reference period,grid and arbitrary polygon/custom area; exact cell size disclosed only in contract,"work population, service population, visitation, and commuting proxy",commercial inquiry; API/DaaS or licensed offline extract,commercial contract; assume no raw redistribution unless expressly licensed,"CONDITIONAL: freeze request polygons, dates, parameters, returned cells, and provider metadata under contract",YES if grid cells or exact custom-polygon totals are licensed,Strongest workplace-specific discriminator for 北外滩街道. Only 0.26% of the support is outside and the three-model spread is 0.0026 Shanghai points; additional data cannot practically improve the headline range. It is not the legal-entity census universe and must only inform within-control shares.,"COMMERCIAL; PRICE, RETENTION, HISTORICAL COVERAGE, AND REDISTRIBUTION REQUIRE A QUOTE",True
310109018000,虹口区,北外滩街道,4,shanghai-metro-entry-exit,Shanghai Municipal Transportation Commission via Shanghai Public Data Open Platform,Citywide metro station entry and exit passenger volume,https://data.sh.gov.cn/,daily or real-time; request representative 2023 weekdays if retained,station point by day or real-time interval,passenger entries/exits; not employment and not necessarily AM-peak alightings,public-data portal download/API; registration or conditional-use application may apply,Shanghai public-data terms; cite provider; conditional datasets require a data-use agreement,CONDITIONAL on dataset access and historical retention,NO: station catchments cross control/reach boundaries and trips are multi-purpose,"Independent validation signal for workplace-center timing in 北外滩街道, never an employment count. No public official AM-peak alighting table was located in this audit.",OFFICIAL STATION FLOW DATASET EXISTS; REQUIRED AM-PEAK/HISTORICAL DETAIL NOT CONFIRMED,True
310109018000,虹口区,北外滩街道,5,official-registry-establishments,Shanghai Administration for Market Regulation / GSXT,Shanghai enterprise registration machine-readable basic archives,https://fw.scjgj.sh.gov.cn/achieve_outer/apply/notice,registry address/status current at acquisition,establishment registered-address point after geocoding,"enterprise name, registered address, status, registration metadata, and business scope",official record-by-record identity-verified lookup through Shanghai's one-stop government portal,public inspection right; no bulk-download or raw-redistribution license identified,NO at control scale without an official bulk extract; record-by-record lookup is auditable but impractical,"YES geometrically after geocoding, but registered address may not be the workplace","Potential establishment-location validation for 北外滩街道; no public bulk enumeration or employment weight, and registered-address bias remains.",OFFICIAL RECORD-BY-RECORD ONLY; NOT PRACTICAL AS A COMPLETE CONTROL DATASET,True
310109018000,虹口区,北外滩街道,5,qichacha-insured-establishments,Qichacha Open Platform,"Enterprise risk-scan API with industry, address, branches, and insured count",https://openapi.qcc.com/dataApi/736,latest enterprise record and annual-report insured count available at acquisition,enterprise registered-address point after geocoding,"establishments, industry, branches, registered address, and reported insured count",commercial JSON API; enterprise-verified account and use-case approval,commercial contract; 6 RMB/query listed at audit date; assume no raw redistribution without written permission,"CONDITIONAL: freeze enterprise universe, API version, query date, raw responses, geocoder, and missingness/deduplication ledgers","YES geometrically after geocoding, but registered address and insured enrollment may differ from workplace","Potential employment-weighted point proxy for 北外滩街道; incomplete insured counts, headquarters/branch duplication, centralized social-insurance enrollment, and registered-address bias require normalization to the official control total.",COMMERCIAL; ENUMERATION AND PER-RECORD COST MAKE A TARGETED PILOT PREFERABLE TO CITYWIDE ACQUISITION,True
310109018000,虹口区,北外滩街道,6,cmab-building-function-volume,Tsinghua University researchers / Figshare,"CMAB: Multi-Attribute Building Dataset of China, version 7",https://figshare.com/articles/dataset/CMAB-The_World_s_First_National-Scale_Multi-Attribute_Building_Dataset/27992417,dataset 2025; input imagery primarily 2022-2024,"individual building polygon with height, volume, and predicted function",office/industrial/commercial/public/residential building function and building volume,public Figshare download; subset Shanghai after freezing version/checksum,CC BY 4.0 with attribution,"YES; 15.81 GB national archive, versioned download",YES at building-polygon level,"Only 0.26% of the support is outside and the three-model spread is 0.0026 Shanghai points; additional data cannot practically improve the headline range. Building function is predicted and partly derived from map AOI/POI; it is an independent high-resolution morphology check, not a workplace count.",PUBLICLY AVAILABLE,True
310109018000,虹口区,北外滩街道,6,existing-jrc-overture-baseline,European Commission JRC and Overture Maps Foundation,Existing JRC non-residential built volume and Overture Places inputs,https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_V,JRC 2020; Overture release 2026-07-22.0,100 m built-volume grid and place points,non-residential built volume and categorized place confidence,already frozen in PR #16 source pipeline,existing source-manifest terms and attribution,YES from the existing pipeline manifest,YES through existing 100 m partial-cell and point geometry,Existing baseline for 北外滩街道; it cannot count as independent improvement because it already generates two of the compared allocation surfaces.,ALREADY USED; NOT NEW EVIDENCE,False
310109018000,虹口区,北外滩街道,6,global-building-atlas,Technical University of Munich / GlobalBuildingAtlas,"GlobalBuildingAtlas building polygons, heights, and LoD1 models",https://source.coop/tge-labs/globalbuildingatlas-lod1,2025 release; source imagery varies,individual building polygon and height,"building footprint, height, and volume; no workplace function",public cloud-hosted Parquet/GeoJSON distribution,polygon component published as ODbL; verify component-specific terms before redistribution,YES with frozen partitions/version/checksum,YES at building-polygon level,Independent geometry/height cross-check for 北外滩街道; weaker than CMAB because it lacks building function and employment.,PUBLICLY AVAILABLE,True
310115132000,浦东新区,周浦镇,1,district-epc5-publication,浦东新区 statistics authority,"Fifth National Economic Census main data bulletin, first bulletin",https://www.pudong.gov.cn/zwgk/tjj_gkml_ywl_tjsj_gb/2025/295/347226.html,2023-12-31,street/town or functional-zone aggregate already used as the accounting control,legal-entity employment and legal-unit counts; separate district industry table,public district-government HTML/PDF attachment,official publication; cite source; no establishment microdata redistribution,YES for published aggregates,NO,"Locks the official control total and universe. Exhaustive table review found no public industry-by-control, establishment-location, or sub-control employment table.","AVAILABLE, BUT NO FINER PUBLIC BREAKDOWN FOUND",True
310115132000,浦东新区,周浦镇,3,baidu-huiyan-work-population,Baidu Maps Huiyan,Population geography big-data API: work-population grid/custom-area analysis,https://huiyan.baidu.com/products/popgeoapiservice,contract-defined; request a stable 2023 historical reference period,grid and arbitrary polygon/custom area; exact cell size disclosed only in contract,"work population, service population, visitation, and commuting proxy",commercial inquiry; API/DaaS or licensed offline extract,commercial contract; assume no raw redistribution unless expressly licensed,"CONDITIONAL: freeze request polygons, dates, parameters, returned cells, and provider metadata under contract",YES if grid cells or exact custom-polygon totals are licensed,Strongest workplace-specific discriminator for 周浦镇. Mixed town with new development and industrial/medical anchors; public building classes alone are unlikely to map workplace intensity reliably. It is not the legal-entity census universe and must only inform within-control shares.,"COMMERCIAL; PRICE, RETENTION, HISTORICAL COVERAGE, AND REDISTRIBUTION REQUIRE A QUOTE",True
310115132000,浦东新区,周浦镇,4,shanghai-metro-entry-exit,Shanghai Municipal Transportation Commission via Shanghai Public Data Open Platform,Citywide metro station entry and exit passenger volume,https://data.sh.gov.cn/,daily or real-time; request representative 2023 weekdays if retained,station point by day or real-time interval,passenger entries/exits; not employment and not necessarily AM-peak alightings,public-data portal download/API; registration or conditional-use application may apply,Shanghai public-data terms; cite provider; conditional datasets require a data-use agreement,CONDITIONAL on dataset access and historical retention,NO: station catchments cross control/reach boundaries and trips are multi-purpose,"Independent validation signal for workplace-center timing in 周浦镇, never an employment count. No public official AM-peak alighting table was located in this audit.",OFFICIAL STATION FLOW DATASET EXISTS; REQUIRED AM-PEAK/HISTORICAL DETAIL NOT CONFIRMED,True
310115132000,浦东新区,周浦镇,5,official-registry-establishments,Shanghai Administration for Market Regulation / GSXT,Shanghai enterprise registration machine-readable basic archives,https://fw.scjgj.sh.gov.cn/achieve_outer/apply/notice,registry address/status current at acquisition,establishment registered-address point after geocoding,"enterprise name, registered address, status, registration metadata, and business scope",official record-by-record identity-verified lookup through Shanghai's one-stop government portal,public inspection right; no bulk-download or raw-redistribution license identified,NO at control scale without an official bulk extract; record-by-record lookup is auditable but impractical,"YES geometrically after geocoding, but registered address may not be the workplace","Potential establishment-location validation for 周浦镇; no public bulk enumeration or employment weight, and registered-address bias remains.",OFFICIAL RECORD-BY-RECORD ONLY; NOT PRACTICAL AS A COMPLETE CONTROL DATASET,True
